Initial_Altitude_km,Target_Altitude_km,Initial_Mass_kg,Max_Thrust_N,Specific_Impulse_s,Initial_Speed_km_s,Final_Speed_Thrust_km_s,Final_Mass_kg,Propellant_Used_kg,Time_of_Flight_days,Number_of_Orbits,Number_of_Segments,Coast_Apoapsis_km,Coast_Periapsis_km,Coast_Radius_Error_percent,Coast_Eccentricity,Speed_After_Coast_km_s
500.0,35000.0,1000.0,0.5,10000.0,7.612679770155256,3.10372564849268,955.063984880212,44.93601511978795,102.0109953703704,642,2,41565.10679447718,41190.74008191513,-0.00018503021857556247,0.004523749398894061,3.098489312110036
500.0,35000.0,1000.0,1.0,10000.0,7.612679770155256,3.104107959763273,955.0607729388793,44.93922706112073,51.00914351851852,321,1,41762.490579097095,41014.008825150435,0.024770897877531586,0.009042201099751427,3.0910853638722426
500.0,35000.0,1000.0,2.0,10000.0,7.612679770155256,3.10445434694817,955.0592433940964,44.94075660590363,25.505439814814814,160,1,42145.44548330962,40650.733611141746,0.048551276585822416,0.018052908824001998,3.076168321832097
500.0,35000.0,1000.0,3.0,10000.0,7.612679770155256,3.1062569286787225,955.0449678849614,44.95503211503865,17.009027777777778,107,1,42553.589432428846,40339.103061828144,0.16517532777924193,0.026715097603496555,3.0477662718752767
500.0,35000.0,1000.0,4.0,10000.0,7.612679770155256,3.1081368631586392,955.0313041670115,44.96869583298849,12.760648148148148,80,1,42994.0808266905,40001.1517160933,0.28908181012108813,0.03606145821754706,3.012586001228549
500.0,35000.0,1000.0,5.0,10000.0,7.612679770155256,3.110534852725849,955.0142755190228,44.98572448097718,10.21238425925926,64,1,43423.65099753997,39698.83893635178,0.4428560272267216,0.044811122286526485,2.973458724756157
500.0,35000.0,1000.0,7.0,10000.0,7.612679770155256,3.1147278185013287,954.987865810238,45.01213418976204,7.298842592592592,45,1,44238.71311001917,39114.701539017886,0.7218988943847723,0.06147332526899038,2.9081340459535028
500.0,35000.0,1000.0,9.0,10000.0,7.612679770155256,3.1208078052930572,954.9504435600271,45.04955643997289,5.681597222222223,35,1,45155.99779526238,38525.28991796506,1.1180913930439416,0.07923764151455819,2.877373213570189
500.0,35000.0,3000.0,0.5,10000.0,7.612679770155256,3.1037271225483054,2865.1914448007255,134.80855519927445,306.03414351851853,1927,4,41439.36103187867,41316.63624550907,-3.289927330954839e-06,0.0014829715115176193,3.1020343054915487
500.0,35000.0,3000.0,1.0,10000.0,7.612679770155256,3.1037473770458806,2865.190985944806,134.80901405519398,153.0175925925926,963,2,41501.3405506537,41255.85943225631,0.0014500252670616835,0.002966281102406655,3.1002334464194643
500.0,35000.0,3000.0,2.0,10000.0,7.612679770155256,3.103830246638288,2865.189150521128,134.81084947887211,76.50983796296296,481,1,41626.39542310128,41135.51014982126,0.007136126592091296,0.005931294958493883,3.0963295097491668
500.0,35000.0,3000.0,3.0,10000.0,7.612679770155256,3.104107959651121,2865.182318666326,134.81768133367405,51.00914351851852,321,1,41762.490582217986,41014.008828221406,0.024770905359610264,0.009042201099678123,3.0910853634983337
500.0,35000.0,3000.0,4.0,10000.0,7.612679770155256,3.1041712721966332,2865.182012912692,134.8179870873082,38.25694444444444,241,1,41880.661920972074,40899.120252720066,0.028737703238595806,0.011857263240829684,3.0869657118921303
500.0,35000.0,3000.0,5.0,10000.0,7.612679770155256,3.1041783290690015,2865.1835424023598,134.81645759764024,30.605208333333334,192,1,42008.01420611585,40772.773955994984,0.029953311072114453,0.014921822774891612,3.0826179809982803
500.0,35000.0,3000.0,7.0,10000.0,7.612679770155256,3.10473704869281,2865.1727337619054,134.82726623809458,21.862615740740743,137,1,42274.17957814889,40536.47532798739,0.0660434362901479,0.020984066025454603,3.0696795448305347
500.0,35000.0,3000.0,9.0,10000.0,7.612679770155256,3.1062569286514674,2865.1349036214697,134.86509637853032,17.009027777777778,107,1,42553.58943318067,40339.10306247178,0.16517532946547123,0.026715097604351958,3.047766271708959
500.0,35000.0,5000.0,0.5,10000.0,7.612679770155256,3.103746513785293,4775.318190945364,224.68180905463578,510.05891203703715,3213,6,41415.712141897406,41341.203301086454,0.0011061953016732315,0.0009003337112326876,3.102649175392424
500.0,35000.0,5000.0,1.0,10000.0,7.612679770155256,3.1037147358876944,4775.319771449087,224.68022855091294,255.02766203703703,1606,3,41452.6168188867,41302.71575430736,-0.0008064995963353119,0.001811376498871015,3.101696361647353
500.0,35000.0,5000.0,2.0,10000.0,7.612679770155256,3.1038203618870144,4775.3149789539275,224.6850210460725,127.51655092592593,803,2,41530.05135999076,41230.94314046268,0.006035212496300422,0.0036141206534974304,3.0992024840179893
500.0,35000.0,5000.0,3.0,10000.0,7.612679770155256,3.1037920556506986,4775.317222249534,224.6827777504659,85.01018518518518,535,1,41605.33915926071,41154.15681232284,0.004224432770503103,0.005451729032917066,3.09709972161377
500.0,35000.0,5000.0,4.0,10000.0,7.612679770155256,3.103787220321824,4775.3184458653195,224.68155413468048,63.75729166666667,401,1,41678.96572774063,41080.212817578795,0.0038408638883187032,0.0072348822292134535,3.0949499787579877
500.0,35000.0,5000.0,5.0,10000.0,7.612679770155256,3.1041079596503756,4775.303864443877,224.6961355561234,51.00914351851852,321,1,41762.49058224753,41014.008828248414,0.02477090542794216,0.009042201099702534,3.0910853634938906
500.0,35000.0,5000.0,7.0,10000.0,7.612679770155256,3.1041874712027018,4775.303354603966,224.696645396034,36.43518518518518,229,1,41916.76800141484,40863.9588103406,0.029879177045106797,0.01271804720280298,3.0856823662153743
500.0,35000.0,5000.0,9.0,10000.0,7.612679770155256,3.1044925978124382,4775.291832444683,224.70816755531723,28.339930555555554,178,1,42075.81470323547,40722.42108599819,0.051036528147395455,0.01634568181721163,3.078461217929829
500.0,35000.0,7000.0,0.5,10000.0,7.612679770155256,4.222234204534025,6762.129091314273,237.87090868572704,540.0000000000001,4196,6,22363.62958152316,22355.221780102966,-45.9630101000216,0.00018801469993502294,4.221539158456529
500.0,35000.0,7000.0,1.0,10000.0,7.612679770155256,3.103754193621626,6685.444988073994,314.55501192600605,357.0417824074074,2249,4,41431.96389542591,41325.395715869425,0.00164291567419674,0.0012877184586003096,3.102176655280514
500.0,35000.0,7000.0,2.0,10000.0,7.612679770155256,3.1037136752460377,6685.447945145475,314.5520548545246,178.519212962963,1124,2,41484.68672485776,41270.641663544586,-0.0008115563797731844,0.0025864807195082463,3.100800375158954
500.0,35000.0,7000.0,3.0,10000.0,7.612679770155256,3.103710591778025,6685.448454985386,314.551545014614,119.01261574074074,749,2,41536.91256285389,41218.288349750495,-0.0009655945135277935,0.003850201674211206,3.099333762747111
500.0,35000.0,7000.0,4.0,10000.0,7.612679770155256,3.103882578453618,6685.437340475335,314.5626595246649,89.26261574074076,562,1,41596.09609070456,41168.562247328206,0.010462489768433385,0.005165657080709405,3.0970536547146814
500.0,35000.0,7000.0,5.0,10000.0,7.612679770155256,3.1037715233928695,6685.446109721797,314.55389027820274,71.40810185185185,449,1,41643.193606899564,41115.238214533965,0.0029385439527481304,0.006379475550053425,3.096060424268748
500.0,35000.0,7000.0,7.0,10000.0,7.612679770155256,3.1041079596500283,6685.425410221427,314.5745897785728,51.00914351851852,321,1,41762.490582265076,41014.008828257036,0.02477090545955841,0.009042201099807528,3.091085363492245
500.0,35000.0,7000.0,9.0,10000.0,7.612679770155256,3.10405234382908,6685.43224238798,314.5677576120197,39.672916666666666,249,1,41860.432563439346,40912.995987946786,0.021060166496857737,0.011446143914461476,3.088187773064075
500.0,35000.0,9000.0,0.5,10000.0,7.612679770155256,4.985849316688434,8762.129095557611,237.87090444238856,540.0000000000001,4872,6,16035.777645168158,16033.66869076315,-61.248191870158884,6.576210836060938e-05,4.986096304666286
500.0,35000.0,9000.0,1.0,10000.0,7.612679770155256,3.1037256573041265,8595.574385386168,404.4256146138323,459.0511574074075,2891,6,41418.92529987548,41336.96567210988,-0.00013174635633119786,0.000990378168888871,3.102606639548612
