Initial_Altitude_km,Target_Altitude_km,Initial_Mass_kg,Max_Thrust_N,Specific_Impulse_s,Initial_Speed_km_s,Final_Speed_Thrust_km_s,Final_Mass_kg,Propellant_Used_kg,Time_of_Flight_days,Number_of_Orbits,Number_of_Segments,Coast_Apoapsis_km,Coast_Periapsis_km,Coast_Radius_Error_percent,Coast_Eccentricity,Speed_After_Coast_km_s,DeltaV_km_s
500.0,35000.0,3000.0,7.0,10000.0,7.612679770155256,3.10473704869281,2865.1727337619054,134.82726623809458,21.862615740740743,137,1,42274.17957814889,40536.47532798739,0.0660434362901479,0.020984066025454603,3.0696795448305347,4.509615938101332
500.0,35000.0,3000.0,9.0,10000.0,7.612679770155256,3.1062569286514674,2865.1349036214697,134.86509637853032,17.009027777777778,107,1,42553.58943318067,40339.10306247178,0.16517532946547123,0.026715097604351958,3.047766271708959,4.5109106504492
500.0,35000.0,4000.0,0.5,10000.0,7.612679770155256,3.1037200916828045,3820.255582632911,179.74441736708923,408.04479166666675,2570,5,41424.63105222474,41330.89075132176,-0.000577839012889489,0.001132737717798586,3.102463749016657,4.508967720662705
500.0,35000.0,4000.0,1.0,10000.0,7.612679770155256,3.1037752040068556,3820.2533903212952,179.74660967870477,204.0248842592593,1285,3,41472.75835681102,41285.91411907971,0.0032293439638480903,0.0022576997931635845,3.1009685093954094,4.509023970228999
500.0,35000.0,4000.0,2.0,10000.0,7.612679770155256,3.10372564849268,3820.255939520848,179.7440604791518,102.0109953703704,642,2,41565.10679447718,41190.74008191513,-0.00018503021857556247,0.004523749398894061,3.098489312110036,4.508958470753462
500.0,35000.0,4000.0,3.0,10000.0,7.612679770155256,3.1039087981327538,3820.249617505957,179.75038249404315,68.00972222222222,428,1,41664.91012786307,41101.03419277841,0.01201643462889354,0.006812897982534479,3.094899798217604,4.509120704859888
500.0,35000.0,4000.0,4.0,10000.0,7.612679770155256,3.104107959763273,3820.243091755517,179.75690824448293,51.00914351851852,321,1,41762.490579097095,41014.008825150435,0.024770897877531586,0.009042201099751427,3.0910853638722426,4.509288174381325
500.0,35000.0,4000.0,5.0,10000.0,7.612679770155256,3.1041922106028808,3820.2411543237754,179.7588456762246,40.80775462962963,257,1,41851.18991861545,40929.90310879949,0.030321701646924278,0.011129193589058478,3.087827820246872,4.5093378506519475
500.0,35000.0,4000.0,7.0,10000.0,7.612679770155256,3.104308451837421,3820.2405424700733,179.75945752992675,29.14849537037037,183,1,42049.73596807981,40738.0652343725,0.03842766983941347,0.01584376822014758,3.0804633048945185,4.509353438857595
500.0,35000.0,4000.0,9.0,10000.0,7.612679770155256,3.10467125404701,3820.231263358255,179.7687366417449,22.672222222222224,142,1,42236.2497380315,40571.44738957005,0.062469340714333466,0.020104439637973454,3.071485168273314,4.509591526392582
500.0,35000.0,5000.0,0.5,10000.0,7.612679770155256,3.103746513785293,4775.318190945364,224.68180905463578,510.05891203703715,3213,6,41415.712141897406,41341.203301086454,0.0011061953016732315,0.0009003337112326876,3.102649175392424,4.508994164569534
500.0,35000.0,5000.0,1.0,10000.0,7.612679770155256,3.1037147358876944,4775.319771449087,224.68022855091294,255.02766203703703,1606,3,41452.6168188867,41302.71575430736,-0.0008064995963353119,0.001811376498871015,3.101696361647353,4.508961682479566
500.0,35000.0,5000.0,2.0,10000.0,7.612679770155256,3.1038203618870144,4775.3149789539275,224.6850210460725,127.51655092592593,803,2,41530.05135999076,41230.94314046268,0.006035212496300422,0.0036141206534974304,3.0992024840179893,4.509060058204809
500.0,35000.0,5000.0,3.0,10000.0,7.612679770155256,3.1037920556506986,4775.317222249534,224.6827777504659,85.01018518518518,535,1,41605.33915926071,41154.15681232284,0.004224432770503103,0.005451729032917066,3.09709972161377,4.509013940906302
500.0,35000.0,5000.0,4.0,10000.0,7.612679770155256,3.103787220321824,4775.3184458653195,224.68155413468048,63.75729166666667,401,1,41678.96572774063,41080.212817578795,0.0038408638883187032,0.0072348822292134535,3.0949499787579877,4.508988764639156
500.0,35000.0,5000.0,5.0,10000.0,7.612679770155256,3.1041079596503756,4775.303864443877,224.6961355561234,51.00914351851852,321,1,41762.49058224753,41014.008828248414,0.02477090542794216,0.009042201099702534,3.0910853634938906,4.509288174498918
500.0,35000.0,5000.0,7.0,10000.0,7.612679770155256,3.1041874712027018,4775.303354603966,224.696645396034,36.43518518518518,229,1,41916.76800141484,40863.9588103406,0.029879177045106797,0.01271804720280298,3.0856823662153743,4.509298550928933
500.0,35000.0,5000.0,9.0,10000.0,7.612679770155256,3.1044925978124382,4775.291832444683,224.70816755531723,28.339930555555554,178,1,42075.81470323547,40722.42108599819,0.051036528147395455,0.01634568181721163,3.078461217929829,4.509535091160909
500.0,35000.0,6000.0,0.5,10000.0,7.612679770155256,3.645505764146885,5762.129091314273,237.87090868572704,540.0000000000001,3759,6,30004.374739069077,29980.833892079972,-27.515577563984422,0.0003924441962660809,3.6447189156750612,3.967169683416794
500.0,35000.0,6000.0,1.0,10000.0,7.612679770155256,3.1037271225483054,5730.382889601451,269.6171103985489,306.03414351851853,1927,4,41439.36103187867,41316.63624550907,-3.289927330954839e-06,0.0014829715115176193,3.1020343054915487,4.508976000009801
500.0,35000.0,6000.0,2.0,10000.0,7.612679770155256,3.1037473770458806,5730.381971889612,269.61802811038797,153.0175925925926,963,2,41501.3405506537,41255.85943225631,0.0014500252670616835,0.002966281102406655,3.1002334464194643,4.508991666558939
500.0,35000.0,6000.0,3.0,10000.0,7.612679770155256,3.103725648492226,5730.383909281272,269.6160907187277,102.0109953703704,642,2,41565.106794463376,41190.74008189667,-0.000185030257577143,0.004523749398952094,3.0984893121126555,4.508958470753462
500.0,35000.0,6000.0,4.0,10000.0,7.612679770155256,3.103830246638288,5730.378301042256,269.62169895774423,76.50983796296296,481,1,41626.39542310128,41135.51014982126,0.007136126592091296,0.005931294958493883,3.0963295097491668,4.509054411196354
500.0,35000.0,6000.0,5.0,10000.0,7.612679770155256,3.1038257395097593,5730.379320722077,269.62067927792305,61.20763888888889,385,1,41693.83067376258,41068.134610720095,0.007208280345446633,0.007560188558738844,3.0943165613630272,4.50903692113445
500.0,35000.0,6000.0,7.0,10000.0,7.612679770155256,3.104145460490523,5730.364025524759,269.6359744752408,43.72222222222223,275,1,41827.641383055794,40950.809104818356,0.02712853191811743,0.010592518621327434,3.088822202097067,4.509298605824995
500.0,35000.0,6000.0,9.0,10000.0,7.612679770155256,3.104511700602239,5730.345977459164,269.6540225408362,34.00844907407407,214,1,41956.55989501624,40841.57424950471,0.050913703563415375,0.013466313667954947,3.082710356664416,4.509607408659667
500.0,35000.0,7000.0,0.5,10000.0,7.612679770155256,4.222234204534025,6762.129091314273,237.87090868572704,540.0000000000001,4196,6,22363.62958152316,22355.221780102966,-45.9630101000216,0.00018801469993502294,4.221539158456529,3.390510766749979
500.0,35000.0,7000.0,1.0,10000.0,7.612679770155256,3.103754193621626,6685.444988073994,314.55501192600605,357.0417824074074,2249,4,41431.96389542591,41325.395715869425,0.00164291567419674,0.0012877184586003096,3.102176655280514,4.509001184684289
500.0,35000.0,7000.0,2.0,10000.0,7.612679770155256,3.1037136752460377,6685.447945145475,314.5520548545246,178.519212962963,1124,2,41484.68672485776,41270.641663544586,-0.0008115563797731844,0.0025864807195082463,3.100800375158954,4.508957773271473
500.0,35000.0,7000.0,3.0,10000.0,7.612679770155256,3.103710591778025,6685.448454985386,314.551545014614,119.01261574074074,749,2,41536.91256285389,41218.288349750495,-0.0009655945135277935,0.003850201674211206,3.099333762747111,4.508950260733954
500.0,35000.0,7000.0,4.0,10000.0,7.612679770155256,3.103882578453618,6685.437340475335,314.5626595246649,89.26261574074076,562,1,41596.09609070456,41168.562247328206,0.010462489768433385,0.005165657080709405,3.0970536547146814,4.509113267927819
500.0,35000.0,7000.0,5.0,10000.0,7.612679770155256,3.1037715233928695,6685.446109721797,314.55389027820274,71.40810185185185,449,1,41643.193606899564,41115.238214533965,0.0029385439527481304,0.006379475550053425,3.096060424268748,4.50898459660171
500.0,35000.0,7000.0,7.0,10000.0,7.612679770155256,3.1041079596500283,6685.425410221427,314.5745897785728,51.00914351851852,321,1,41762.490582265076,41014.008828257036,0.02477090545955841,0.009042201099807528,3.091085363492245,4.509288174498918
500.0,35000.0,7000.0,9.0,10000.0,7.612679770155256,3.10405234382908,6685.43224238798,314.5677576120197,39.672916666666666,249,1,41860.432563439346,40912.995987946786,0.021060166496857737,0.011446143914461476,3.088187773064075,4.50918788922745
